,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
26,Argentina,ARG,1/22/2021,279602.0,254456.0,25146.0,13878.0,11263.0,0.62,0.56,0.06,249.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
27,Argentina,ARG,1/23/2021,288064.0,258876.0,29188.0,8462.0,11124.0,0.64,0.57,0.06,246.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
28,Argentina,ARG,1/24/2021,292023.0,260036.0,31987.0,3959.0,10342.0,0.65,0.58,0.07,229.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
29,Argentina,ARG,1/25/2021,292386.0,260122.0,32264.0,363.0,9046.0,0.65,0.58,0.07,200.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
30,Argentina,ARG,1/26/2021,305880.0,266969.0,38911.0,13494.0,9626.0,0.68,0.59,0.09,213.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
31,Argentina,ARG,1/27/2021,318033.0,272323.0,45710.0,12153.0,10014.0,0.7,0.6,0.1,222.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
32,Argentina,ARG,1/28/2021,327999.0,276548.0,51451.0,9966.0,8896.0,0.73,0.61,0.11,197.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
33,Argentina,ARG,1/29/2021,344034.0,278451.0,65583.0,16035.0,9205.0,0.76,0.62,0.15,204.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
34,Argentina,ARG,1/30/2021,366384.0,281023.0,85361.0,22350.0,11189.0,0.81,0.62,0.19,248.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
35,Austria,AUT,1/10/2021,6784.0,6784.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
36,Austria,AUT,1/11/2021,11559.0,11559.0,0.0,4775.0,4775.0,0.13,0.13,0.0,530.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
37,Austria,AUT,1/12/2021,13172.0,13172.0,0.0,1613.0,3194.0,0.15,0.15,0.0,355.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
38,Austria,AUT,1/13/2021,20064.0,20064.0,0.0,6892.0,4427.0,0.22,0.22,0.0,492.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
39,Austria,AUT,1/14/2021,29359.0,29359.0,0.0,9295.0,5644.0,0.33,0.33,0.0,627.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
40,Austria,AUT,1/15/2021,39751.0,39751.0,0.0,10392.0,6593.0,0.44,0.44,0.0,732.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
41,Austria,AUT,1/16/2021,50402.0,50402.0,0.0,10651.0,7270.0,0.56,0.56,0.0,807.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
42,Austria,AUT,1/17/2021,55450.0,55450.0,0.0,5048.0,6952.0,0.62,0.62,0.0,772.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
43,Austria,AUT,1/18/2021,61012.0,60708.0,304.0,5562.0,7065.0,0.68,0.67,0.0,784.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
44,Austria,AUT,1/19/2021,71508.0,70474.0,1034.0,10496.0,8334.0,0.79,0.78,0.01,925.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
45,Austria,AUT,1/20/2021,88895.0,86888.0,2007.0,17387.0,9833.0,0.99,0.96,0.02,1092.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
46,Austria,AUT,1/21/2021,108252.0,105038.0,3214.0,19357.0,11270.0,1.2,1.17,0.04,1251.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
47,Austria,AUT,1/22/2021,124756.0,121216.0,3540.0,16504.0,12144.0,1.39,1.35,0.04,1348.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
48,Austria,AUT,1/23/2021,136348.0,132105.0,4243.0,11592.0,12278.0,1.51,1.47,0.05,1363.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
49,Austria,AUT,1/24/2021,139538.0,135249.0,4289.0,3190.0,12013.0,1.55,1.5,0.05,1334.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
50,Austria,AUT,1/25/2021,141350.0,137044.0,4306.0,1812.0,11477.0,1.57,1.52,0.05,1274.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
51,Austria,AUT,1/26/2021,150933.0,146587.0,4346.0,9583.0,11346.0,1.68,1.63,0.05,1260.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
52,Austria,AUT,1/27/2021,158985.0,153859.0,5126.0,8052.0,10013.0,1.77,1.71,0.06,1112.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
53,Austria,AUT,1/28/2021,169439.0,163806.0,5633.0,10454.0,8741.0,1.88,1.82,0.06,971.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
54,Austria,AUT,1/29/2021,181419.0,174262.0,7157.0,11980.0,8095.0,2.01,1.93,0.08,899.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
55,Austria,AUT,1/30/2021,197179.0,183628.0,13551.0,15760.0,8690.0,2.19,2.04,0.15,965.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
56,Austria,AUT,1/31/2021,200498.0,185291.0,15207.0,3319.0,8709.0,2.23,2.06,0.17,967.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
57,Bahrain,BHR,12/23/2020,38965.0,38965.0,0.0,0.0,0.0,2.29,2.29,0.0,0.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
58,Bahrain,BHR,12/24/2020,50071.0,50071.0,0.0,11106.0,11106.0,2.94,2.94,0.0,6527.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
59,Bahrain,BHR,12/25/2020,50543.0,50543.0,0.0,472.0,5789.0,2.97,2.97,0.0,3402.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
60,Bahrain,BHR,12/26/2020,51556.0,51556.0,0.0,1013.0,4197.0,3.03,3.03,0.0,2467.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
61,Bahrain,BHR,12/27/2020,53614.0,53614.0,0.0,2058.0,3662.0,3.15,3.15,0.0,2152.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
62,Bahrain,BHR,12/28/2020,55014.0,55014.0,0.0,1400.0,3210.0,3.23,3.23,0.0,1886.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
63,Bahrain,BHR,12/29/2020,56041.0,56041.0,0.0,1027.0,2846.0,3.29,3.29,0.0,1673.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
64,Bahrain,BHR,12/30/2020,57317.0,57317.0,0.0,1276.0,2622.0,3.37,3.37,0.0,1541.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
65,Bahrain,BHR,12/31/2020,58643.0,58643.0,0.0,1326.0,1225.0,3.45,3.45,0.0,720.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
66,Bahrain,BHR,1/1/2021,59351.0,59351.0,0.0,708.0,1258.0,3.49,3.49,0.0,739.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
67,Bahrain,BHR,1/2/2021,60097.0,60097.0,0.0,746.0,1220.0,3.53,3.53,0.0,717.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
68,Bahrain,BHR,1/3/2021,60689.0,60689.0,0.0,592.0,1011.0,3.57,3.57,0.0,594.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
69,Bahrain,BHR,1/4/2021,61612.0,61612.0,0.0,923.0,943.0,3.62,3.62,0.0,554.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
70,Bahrain,BHR,1/5/2021,63893.0,63893.0,0.0,2281.0,1122.0,3.75,3.75,0.0,659.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
71,Bahrain,BHR,1/6/2021,68472.0,68472.0,0.0,4579.0,1594.0,4.02,4.02,0.0,937.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
72,Bahrain,BHR,1/7/2021,72239.0,72239.0,0.0,3767.0,1942.0,4.25,4.25,0.0,1141.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
73,Bahrain,BHR,1/8/2021,78291.0,78291.0,0.0,6052.0,2706.0,4.6,4.6,0.0,1590.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
74,Bahrain,BHR,1/9/2021,84157.0,84157.0,0.0,5866.0,3437.0,4.95,4.95,0.0,2020.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
75,Bahrain,BHR,1/10/2021,89250.0,89250.0,0.0,5093.0,4080.0,5.25,5.25,0.0,2398.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
76,Bahrain,BHR,1/11/2021,92598.0,92598.0,0.0,3348.0,4427.0,5.44,5.44,0.0,2602.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
77,Bahrain,BHR,1/12/2021,97776.0,97776.0,0.0,5178.0,4840.0,5.75,5.75,0.0,2844.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
78,Bahrain,BHR,1/13/2021,101363.0,101363.0,0.0,3587.0,4699.0,5.96,5.96,0.0,2762.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
79,Bahrain,BHR,1/14/2021,109566.0,109566.0,0.0,8203.0,5332.0,6.44,6.44,0.0,3134.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
80,Bahrain,BHR,1/15/2021,122819.0,122819.0,0.0,13253.0,6361.0,7.22,7.22,0.0,3738.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
81,Bahrain,BHR,1/16/2021,137159.0,137159.0,0.0,14340.0,7572.0,8.06,8.06,0.0,4450.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
82,Bahrain,BHR,1/17/2021,141563.0,141563.0,0.0,4404.0,7473.0,8.32,8.32,0.0,4392.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
83,Bahrain,BHR,1/18/2021,142831.0,142831.0,0.0,1268.0,7176.0,8.39,8.39,0.0,4217.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
84,Bahrain,BHR,1/19/2021,143596.0,143596.0,0.0,765.0,6546.0,8.44,8.44,0.0,3847.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
85,Bahrain,BHR,1/20/2021,144130.0,144130.0,0.0,534.0,6110.0,8.47,8.47,0.0,3591.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
91,Bahrain,BHR,1/26/2021,165953.0,165953.0,0.0,0.0,3194.0,9.75,9.75,0.0,1877.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
92,Bahrain,BHR,1/27/2021,167731.0,167731.0,0.0,1778.0,3372.0,9.86,9.86,0.0,1982.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
93,Bahrain,BHR,1/28/2021,169440.0,169440.0,0.0,1709.0,3096.0,9.96,9.96,0.0,1819.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
94,Bahrain,BHR,1/29/2021,169810.0,169810.0,0.0,370.0,2629.0,9.98,9.98,0.0,1545.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
95,Bahrain,BHR,1/30/2021,170433.0,170433.0,0.0,623.0,2199.0,10.02,10.02,0.0,1292.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
96,Belgium,BEL,12/28/2020,298.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
97,Belgium,BEL,12/29/2020,299.0,299.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
98,Belgium,BEL,12/30/2020,778.0,778.0,0.0,479.0,240.0,0.01,0.01,0.0,21.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
99,Belgium,BEL,12/31/2020,787.0,787.0,0.0,9.0,163.0,0.01,0.01,0.0,14.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
103,Belgium,BEL,1/4/2021,788.0,788.0,0.0,0.0,70.0,0.01,0.01,0.0,6.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
104,Belgium,BEL,1/5/2021,2306.0,2306.0,0.0,1518.0,287.0,0.02,0.02,0.0,25.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
105,Belgium,BEL,1/6/2021,6151.0,6151.0,0.0,3845.0,768.0,0.05,0.05,0.0,66.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
106,Belgium,BEL,1/7/2021,14200.0,14200.0,0.0,8049.0,1916.0,0.12,0.12,0.0,165.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
107,Belgium,BEL,1/8/2021,23317.0,23317.0,0.0,9117.0,3219.0,0.2,0.2,0.0,278.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
108,Belgium,BEL,1/9/2021,26493.0,26493.0,0.0,3176.0,3672.0,0.23,0.23,0.0,317.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
109,Belgium,BEL,1/10/2021,26886.0,26886.0,0.0,393.0,3728.0,0.23,0.23,0.0,322.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
110,Belgium,BEL,1/11/2021,32318.0,32318.0,0.0,5432.0,4504.0,0.28,0.28,0.0,389.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
111,Belgium,BEL,1/12/2021,47794.0,47794.0,0.0,15476.0,6498.0,0.41,0.41,0.0,561.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
112,Belgium,BEL,1/13/2021,68024.0,68024.0,0.0,20230.0,8839.0,0.59,0.59,0.0,763.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
113,Belgium,BEL,1/14/2021,89128.0,89128.0,0.0,21104.0,10704.0,0.77,0.77,0.0,924.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
114,Belgium,BEL,1/15/2021,111291.0,111291.0,0.0,22163.0,12568.0,0.96,0.96,0.0,1084.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
115,Belgium,BEL,1/16/2021,116247.0,116247.0,0.0,4956.0,12822.0,1.0,1.0,0.0,1106.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
116,Belgium,BEL,1/17/2021,119133.0,119133.0,0.0,2886.0,13178.0,1.03,1.03,0.0,1137.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
117,Belgium,BEL,1/18/2021,129075.0,128966.0,109.0,9942.0,13822.0,1.11,1.11,0.0,1193.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
118,Belgium,BEL,1/19/2021,147409.0,147119.0,290.0,18334.0,14231.0,1.27,1.27,0.0,1228.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
119,Belgium,BEL,1/20/2021,167027.0,166315.0,712.0,19618.0,14143.0,1.44,1.44,0.01,1220.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
120,Belgium,BEL,1/21/2021,194701.0,193989.0,712.0,27674.0,15082.0,1.68,1.67,0.01,1301.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
121,Belgium,BEL,1/22/2021,222158.0,221415.0,743.0,27457.0,15838.0,1.92,1.91,0.01,1367.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
122,Belgium,BEL,1/23/2021,229418.0,228668.0,750.0,7260.0,16167.0,1.98,1.97,0.01,1395.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
123,Belgium,BEL,1/24/2021,231196.0,230446.0,750.0,1778.0,16009.0,1.99,1.99,0.01,1381.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
124,Belgium,BEL,1/25/2021,240538.0,239788.0,750.0,9342.0,15923.0,2.08,2.07,0.01,1374.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
125,Belgium,BEL,1/26/2021,249420.0,247397.0,2023.0,8882.0,14573.0,2.15,2.13,0.02,1257.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
126,Belgium,BEL,1/27/2021,260918.0,256352.0,4566.0,11498.0,13413.0,2.25,2.21,0.04,1157.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
127,Belgium,BEL,1/28/2021,275620.0,266322.0,9298.0,14702.0,11560.0,2.38,2.3,0.08,997.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
128,Belgium,BEL,1/29/2021,283584.0,270740.0,12844.0,7964.0,8775.0,2.45,2.34,0.11,757.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
129,Bermuda,BMU,1/10/2021,0.0,-109015.06302521005,0.0,0.0,0.0,0.0,-0.4020693277310956,0.0,0.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
135,Bermuda,BMU,1/16/2021,1665.0,-107350.06302521005,0.0,0.0,278.0,2.67,2.2679306722689043,0.0,4464.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
142,Bermuda,BMU,1/23/2021,2932.0,-106083.06302521005,0.0,0.0,181.0,4.71,4.307930672268904,0.0,2907.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
143,Brazil,BRA,1/16/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
144,Brazil,BRA,1/17/2021,112.0,112.0,0.0,112.0,112.0,0.0,0.0,0.0,1.0,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
